[2023-08-12 18:50:47,588: INFO: test: Welcome Test]
[2023-08-12 19:02:33,970: INFO: test: Welcome Test 2]
[2023-08-15 11:19:30,237: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-08-15 11:19:30,244: INFO: common: yaml file: params.yaml loaded successfully]
[2023-08-15 11:19:30,244: INFO: common: created directory at: artifacts]
[2023-08-15 11:19:30,253: INFO: common: created directory at: artifacts/data_ingestion]
[2023-08-18 16:34:57,260: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-08-18 16:34:57,260: INFO: common: yaml file: params.yaml loaded successfully]
[2023-08-18 16:34:57,260: INFO: common: created directory at: artifacts]
[2023-08-18 16:34:57,275: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-08-18 16:35:11,713: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-08-19 17:22:40,297: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-08-19 17:22:40,313: INFO: common: yaml file: params.yaml loaded successfully]
[2023-08-19 17:22:40,313: INFO: common: created directory at: artifacts]
[2023-08-19 17:22:40,361: INFO: common: created directory at: artifacts\prepare_callbacks\checkpoint_dir]
[2023-08-19 17:22:40,361: INFO: common: created directory at: artifacts\prepare_callbacks\tensorboard_log_dir]
[2023-08-19 17:24:12,479: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-08-19 17:24:12,479: INFO: common: yaml file: params.yaml loaded successfully]
[2023-08-19 17:24:12,479: INFO: common: created directory at: artifacts]
[2023-08-19 17:24:12,479: INFO: common: created directory at: artifacts\prepare_callbacks\checkpoint_dir]
[2023-08-19 17:24:12,479: INFO: common: created directory at: artifacts\prepare_callbacks\tensorboard_log_dir]
[2023-08-19 17:30:42,044: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-08-19 17:30:42,044: INFO: common: yaml file: params.yaml loaded successfully]
[2023-08-19 17:30:42,044: INFO: common: created directory at: artifacts]
[2023-08-19 17:30:42,044: INFO: common: created directory at: artifacts\prepare_callbacks\checkpoint_dir]
[2023-08-19 17:30:42,044: INFO: common: created directory at: artifacts\prepare_callbacks\tensorboard_log_dir]
